deviceID,batteryVoltage,timestamp
0,93.04,1
0,92.99,2
0,93.0,3
0,92.99,4
0,93.03,5
0,93.02,6
0,93.06,7
0,93.03,8
0,93.01,9
0,93.06,10
0,93.02,11
0,92.99,12
0,93.02,13
0,93.01,14
0,93.06,15
0,93.02,16
0,93.0,17
0,93.02,18
0,93.0,19
0,92.96,20
0,92.99,21
0,93.03,22
0,93.06,23
0,93.03,24
0,93.02,25
0,92.98,26
0,93.01,27
0,92.99,28
0,93.02,29
0,92.99,30
0,92.96,31
0,92.93,32
0,92.95,33
0,92.99,34
0,93.0,35
0,92.97,36
0,92.94,37
0,92.95,38
0,93.0,39
0,92.99,40
0,92.94,41
0,92.89,42
0,92.88,43
0,92.88,44
0,92.92,45
0,92.89,46
0,92.86,47
0,92.82,48
0,92.8,49
0,92.79,50
0,92.74,51
0,92.69,52
0,92.69,53
0,92.72,54
0,92.77,55
0,92.75,56
0,92.76,57
0,92.79,58
0,92.78,59
0,92.78,60
0,92.73,61
0,92.76,62
0,92.71,63
0,92.66,64
0,92.67,65
0,92.68,66
0,92.65,67
0,92.6,68
0,92.57,69
0,92.63,70
0,92.57,71
0,92.62,72
0,92.62,73
0,92.67,74
0,92.61,75
0,92.63,76
0,92.65,77
0,92.6,78
0,92.57,79
0,92.61,80
0,92.63,81
0,92.58,82
0,92.61,83
0,92.61,84
0,92.63,85
0,92.68,86
0,92.66,87
0,92.68,88
0,92.74,89
0,92.69,90
0,92.69,91
0,92.68,92
0,92.63,93
0,92.6,94
0,92.55,95
0,92.53,96
0,92.54,97
0,92.54,98
0,92.49,99
0,92.49,100
0,92.44,101
0,92.44,102
0,92.44,103
0,92.47,104
0,92.49,105
0,92.49,106
0,92.51,107
0,92.51,108
0,92.49,109
0,92.53,110
0,92.57,111
0,92.53,112
0,92.51,113
0,92.56,114
0,92.54,115
0,92.58,116
0,92.59,117
0,92.6,118
0,92.64,119
0,92.61,120
0,92.65,121
0,92.68,122
0,92.72,123
0,92.72,124
0,92.71,125
0,92.7,126
0,92.75,127
0,92.72,128
0,92.74,129
0,92.72,130
0,92.75,131
0,92.79,132
0,92.76,133
0,92.76,134
0,92.72,135
0,92.75,136
0,92.78,137
0,92.82,138
0,92.88,139
0,92.86,140
0,92.88,141
0,92.87,142
0,92.83,143
0,92.78,144
0,92.78,145
0,92.82,146
0,92.85,147
0,92.81,148
0,92.85,149
0,92.85,150
0,92.86,151
0,92.91,152
0,92.91,153
0,92.94,154
0,92.99,155
0,92.94,156
0,92.94,157
0,92.91,158
0,92.88,159
0,92.84,160
0,92.87,161
0,92.87,162
0,92.82,163
0,92.86,164
0,92.87,165
0,92.91,166
0,92.94,167
0,93.0,168
0,92.98,169
0,93.0,170
0,93.01,171
0,92.98,172
0,92.96,173
0,92.9,174
0,92.94,175
0,92.91,176
0,92.88,177
0,92.86,178
0,92.89,179
0,92.84,180
0,92.89,181
0,92.89,182
0,92.9,183
0,92.89,184
0,92.9,185
0,92.88,186
0,92.85,187
0,92.8,188
0,92.8,189
0,92.76,190
0,92.73,191
0,92.68,192
0,92.72,193
0,92.75,194
0,92.72,195
0,92.72,196
0,92.71,197
0,92.76,198
0,92.74,199
0,92.79,200
0,92.79,201
0,92.79,202
0,92.76,203
0,92.82,204
0,92.82,205
0,92.8,206
0,92.79,207
0,92.79,208
0,92.76,209
